code,nom,geometry,n_bike_stations
69142,Mulatière,"POLYGON ((536348.9381089667 5740202.602834947, 535853.1106109446 5739214.583656894, 535921.6436875585 5737755.251204521, 536444.2910126344 5736403.87892055, 536634.8594989625 5735414.655863142, 534653.1527740181 5736079.999023739, 532120.1359108571 5736051.779805695, 531190.6380733041 5736992.133398492, 532235.6567292763 5738165.410314738, 531824.5835729715 5739908.238441661, 533591.9349118125 5740132.95464093, 534604.8586111591 5740652.398933797, 535835.4468538979 5740019.321011664, 536348.9381089667 5740202.602834947))",2
69029,Bron,"POLYGON ((545356.0545164545 5740768.419096412, 547424.0455425904 5740104.672738957, 549090.8076101172 5739432.095735885, 549468.4911764194 5736562.670571492, 546528.9432083046 5735260.280741545, 544016.914688661 5736540.83276986, 544606.5687495949 5738624.7108839145, 545356.0545164545 5740768.419096412))",5
69149,Oullins,"POLYGON ((535973.6748746886 5730417.63569497, 533831.2552375272 5728767.6580764, 533279.4944695961 5727802.581504385, 533441.0649043486 5727023.232421888, 533114.6655887594 5726868.675150893, 532244.5097313911 5728071.584827027, 531522.4949170536 5730278.88607119, 530354.1020263898 5730733.31699077, 531008.2890973644 5733862.045562097, 531932.72333934 5735540.57072015, 532120.1359108571 5736051.779805695, 534653.1527740181 5736079.999023739, 536634.8594989625 5735414.655863142, 536899.4156174225 5734731.703726473, 538478.9780079041 5733569.333669943, 538847.3651257347 5733686.793244505, 539157.7438923983 5731754.236520196, 538578.2250718316 5731062.674986859, 536625.152351334 5731698.64068214, 535973.6748746886 5730417.63569497))",5
69034,Caluire-et-Cuire,"POLYGON ((541056.5514993867 5746194.366744248, 540246.9888082399 5746184.423483547, 539126.2572895207 5744941.603306889, 538054.4426373926 5745464.384216517, 536467.587855558 5746693.062439753, 537530.2256665642 5747686.857432504, 538453.3583549083 5748076.239157371, 538951.3012619007 5748906.2734471755, 538445.2804261696 5749662.756955086, 538686.8810187754 5750503.108896445, 538249.1087929856 5751839.809454099, 537423.5364302077 5753153.180591121, 538650.4254341951 5753806.71739275, 538944.8917725577 5753707.008422238, 538860.8037451521 5754273.557144768, 540238.8108630576 5754458.106066035, 541480.7940230053 5753627.151574043, 541625.0029744058 5753428.305263131, 541757.1135835404 5750750.907409743, 542582.5860824937 5751427.473366502, 544764.1717010562 5754088.5774719985, 546367.8046820334 5754028.9703240935, 546079.9627397319 5755534.271238978, 545127.0773330466 5756435.825034427, 545529.2531221227 5757559.14083297, 546525.4748041428 5756886.2898055315, 547259.7824978015 5755618.474188027, 547815.5127282398 5753585.744185278, 547507.0360521676 5749479.329096002, 548114.651563313 5748994.706673269, 544110.0941996186 5748495.360957771, 543217.4297653872 5747608.787168363, 541734.9004886696 5746371.2714569485, 541056.5514993867 5746194.366744248))",10
69081,Écully,"POLYGON ((533801.6288128737 5744488.775433898, 533493.3361796014 5744092.853596757, 532837.7540956705 5742635.562874806, 531830.201943703 5741013.836005633, 531184.531805074 5740502.603827198, 529027.7091521131 5740411.372551604, 528087.9546395119 5741273.174814511, 527175.826519925 5743757.229383847, 524890.3482070604 5743223.610350749, 524533.1605379733 5744196.916269755, 526186.7858692132 5744663.786815654, 527567.6943038902 5743809.8130218275, 530015.4950175955 5743676.885027331, 529399.1831514863 5744823.729873012, 529053.0161252904 5746845.947269303, 530728.16728419 5747986.824176185, 531030.3714436751 5748494.904630967, 533072.8679743763 5746685.037452889, 533801.6288128737 5744488.775433898))",2
69384,Lyon 4e  Arrondissement,"POLYGON ((535766.4443558264 5743775.847405635, 535482.2648831814 5745127.55125423, 536467.587855558 5746693.062439753, 538054.4426373926 5745464.384216517, 539126.2572895207 5744941.603306889, 538757.0901566638 5744058.199114539, 538195.0041874988 5744294.144990966, 535766.4443558264 5743775.847405635))",20
69259,Vénissieux,"POLYGON ((544894.6584060607 5732956.869339856, 546760.6378868094 5730532.116077746, 544682.4270559653 5729933.297676538, 543965.0288460911 5727862.863596561, 543153.2201704046 5729502.491595256, 542022.9468591971 5730586.218755306, 541199.3936870109 5730541.149793043, 540151.5108594771 5730409.855330764, 539739.6807189239 5729376.10599353, 538347.0226509204 5730309.903780667, 538578.2250718316 5731062.674986859, 539157.7438923983 5731754.236520196, 538847.3651257347 5733686.793244505, 538506.9469470999 5735355.055946956, 539808.3428309023 5735438.025821262, 539868.6678189192 5735440.629231464, 540391.7900821797 5735474.130294442, 540308.4923331791 5737120.222114905, 543332.0731115827 5735825.869100237, 544016.914688661 5736540.83276986, 546528.9432083046 5735260.280741545, 544894.6584060607 5732956.869339856))",9
69386,Lyon 6e  Arrondissement,"POLYGON ((538780.4039967821 5742539.158955416, 538759.3766620882 5742972.28885573, 538757.0901566638 5744058.199114539, 539126.2572895207 5744941.603306889, 540246.9888082399 5746184.423483547, 541056.5514993867 5746194.366744248, 540827.3230288705 5743956.364275277, 542124.6164361426 5742566.542543637, 538780.4039967821 5742539.158955416))",32
69382,Lyon 2e  Arrondissement,"POLYGON ((538780.4039967821 5742539.158955416, 538626.084627402 5741451.777491239, 536715.9627026794 5738045.614205181, 536444.2910126344 5736403.87892055, 535921.6436875585 5737755.251204521, 535853.1106109446 5739214.583656894, 536348.9381089667 5740202.602834947, 536874.705288552 5740663.196690762, 537727.129565125 5742723.984025942, 538759.3766620882 5742972.28885573, 538780.4039967821 5742539.158955416))",36
69388,Lyon 8e  Arrondissement,"POLYGON ((539868.6678189192 5735440.629231464, 539808.3428309023 5735438.025821262, 539587.4148859163 5736460.789573325, 539799.5464888833 5738501.650839034, 540567.4722516917 5738854.810502999, 541002.6372255606 5740305.360800233, 544606.5687495949 5738624.7108839145, 544016.914688661 5736540.83276986, 543332.0731115827 5735825.869100237, 540308.4923331791 5737120.222114905, 540391.7900821797 5735474.130294442, 539868.6678189192 5735440.629231464))",38
69256,Vaulx-en-Velin,"POLYGON ((550337.7817644065 5749878.811934633, 551200.5249551223 5749756.61720749, 552487.5111211243 5750108.841583344, 553299.592038466 5749535.283291229, 554372.6702607573 5749255.176428093, 553855.7447314037 5746246.784862852, 554890.6221007798 5745076.632134214, 554903.3255702094 5740975.14016174, 552957.6891093057 5740796.50792613, 549090.8076101172 5739432.095735885, 547424.0455425904 5740104.672738957, 547830.3638144073 5741362.0902175745, 547574.8732309258 5742742.198702275, 546046.7131287679 5744412.763957418, 546291.1288392111 5745743.94214288, 545612.6953409351 5746240.328163769, 544016.7159942458 5746615.945741725, 543217.4297653872 5747608.787168363, 544110.0941996186 5748495.360957771, 548114.651563313 5748994.706673269, 550337.7817644065 5749878.811934633))",7
69389,Lyon 9e  Arrondissement,"POLYGON ((538445.2804261696 5749662.756955086, 538951.3012619007 5748906.2734471755, 538453.3583549083 5748076.239157371, 537530.2256665642 5747686.857432504, 536467.587855558 5746693.062439753, 535482.2648831814 5745127.55125423, 535766.4443558264 5743775.847405635, 536525.9316049594 5743113.195228176, 535374.952652037 5742663.398796847, 532837.7540956705 5742635.562874806, 533493.3361796014 5744092.853596757, 533801.6288128737 5744488.775433898, 533072.8679743763 5746685.037452889, 534630.5293271512 5747031.277068517, 535925.0346741574 5747428.770626981, 536366.4331449834 5748255.58611244, 538445.2804261696 5749662.756955086))",29
69068,Couzon-au-Mont-d'Or,"POLYGON ((537838.3550371239 5761059.925752637, 536543.7153196667 5761403.2326345015, 535983.4435635501 5761838.49268293, 537174.0871641077 5762510.879893415, 538847.1980555507 5762445.54482293, 539752.8044546752 5762834.0121344635, 541026.9170281374 5764088.8026123755, 541691.8351928499 5762893.984322209, 541689.8163540614 5761936.796905141, 540435.0654468286 5761873.985458164, 539578.5438313091 5759838.427771562, 540127.3832762409 5758835.076350295, 538433.9077733043 5759026.1095834, 538481.8769146422 5756923.886985823, 538399.3472126204 5756632.133542688, 537895.0000681053 5754691.309115385, 535097.7699183667 5755284.067092352, 534953.2297391276 5755318.762691804, 535791.4324532871 5757095.702440873, 536417.9029969688 5757406.756395423, 537838.3550371239 5761059.925752637))",4
69387,Lyon 7e  Arrondissement,"POLYGON ((539808.3428309023 5735438.025821262, 538506.9469470999 5735355.055946956, 538847.3651257347 5733686.793244505, 538478.9780079041 5733569.333669943, 536899.4156174225 5734731.703726473, 536634.8594989625 5735414.655863142, 536444.2910126344 5736403.87892055, 536715.9627026794 5738045.614205181, 538626.084627402 5741451.777491239, 541002.6372255606 5740305.360800233, 540567.4722516917 5738854.810502999, 539799.5464888833 5738501.650839034, 539587.4148859163 5736460.789573325, 539808.3428309023 5735438.025821262))",45
69385,Lyon 5e  Arrondissement,"POLYGON ((536525.9316049594 5743113.195228176, 537727.129565125 5742723.984025942, 536874.705288552 5740663.196690762, 536348.9381089667 5740202.602834947, 535835.4468538979 5740019.321011664, 534604.8586111591 5740652.398933797, 533591.9349118125 5740132.95464093, 531824.5835729715 5739908.238441661, 531184.531805074 5740502.603827198, 531830.201943703 5741013.836005633, 532837.7540956705 5742635.562874806, 535374.952652037 5742663.398796847, 536525.9316049594 5743113.195228176))",23
69381,Lyon 1er Arrondissement,"POLYGON ((536525.9316049594 5743113.195228176, 535766.4443558264 5743775.847405635, 538195.0041874988 5744294.144990966, 538757.0901566638 5744058.199114539, 538759.3766620882 5742972.28885573, 537727.129565125 5742723.984025942, 536525.9316049594 5743113.195228176))",20
69266,Villeurbanne nord,"POLYGON ((540827.3230288705 5743956.364275277, 541056.5514993867 5746194.366744248, 541734.9004886696 5746371.2714569485, 543217.4297653872 5747608.787168363, 544016.7159942458 5746615.945741725, 545612.6953409351 5746240.328163769, 546291.1288392111 5745743.94214288, 546046.7131287679 5744412.763957418, 546697.7602753574 5743701.047468408, 541065.6419461648 5743701.047468408, 540827.3230288705 5743956.364275277))",34
69290,Saint-Priest,"POLYGON ((546528.9432083046 5735260.280741545, 549468.4911764194 5736562.670571492, 550774.6894354417 5736466.949272846, 552605.3992766328 5735596.721193783, 553660.2348401274 5735697.7224016115, 554204.2641136122 5734427.140919073, 555107.3561550499 5734486.385959413, 556604.2642403754 5733703.754723411, 555579.9517162465 5730044.145087558, 555602.5332169831 5728802.660193803, 553799.4517614587 5729387.156032306, 553189.680228787 5728676.240668159, 551463.1175617717 5729630.484302516, 549259.1733238079 5729775.498244247, 548230.3925320997 5729572.948807807, 546760.6378868094 5730532.116077746, 544894.6584060607 5732956.869339856, 546528.9432083046 5735260.280741545))",2
69383,Lyon 3e  Arrondissement,"POLYGON ((538780.4039967821 5742539.158955416, 542124.6164361426 5742566.542543637, 543099.4285031646 5741143.628432488, 545356.0545164545 5740768.419096412, 544606.5687495949 5738624.7108839145, 541002.6372255606 5740305.360800233, 538626.084627402 5741451.777491239, 538780.4039967821 5742539.158955416))",55
69266,Villeurbanne sud,"POLYGON ((543099.4285031646 5741143.628432488, 542124.6164361426 5742566.542543637, 541065.6419461648 5743701.047468408, 546697.7602753574 5743701.047468408, 547574.8732309258 5742742.198702275, 547830.3638144073 5741362.0902175745, 547424.0455425904 5740104.672738957, 545356.0545164545 5740768.419096412, 543099.4285031646 5741143.628432488))",38
